Country,First Name,Last Name,ID,Birth Date,Death Date,Place of Birth,Start Mandate,End Mandate,URL,First Paragraph
us,George,Washington,Q23,1732-02-22,1799-12-14,Westmoreland County,1789-04-30,1797-03-04,https://en.wikipedia.org/wiki/George_Washington,"George Washington (February 22, 1732 – December 14, 1799) was an American Founding Father, military officer, politician and statesman who served as the first president of the United States from 1789 to 1797. Appointed by the Second Continental Congress as commander of the Continental Army in 1775, Washington led Patriot forces to victory in the American Revolutionary War and then served as president of the Constitutional Convention in 1787, which drafted and ratified the Constitution of the United States and established the U.S. federal government. Washington has thus been called the ""Father of the Nation""."
us,Barack,Obama,Q76,1961-08-04,,Kapiolani Medical Center for Women and Children,2009-01-20,2017-01-20,https://en.wikipedia.org/wiki/Barack_Obama,"Barack Hussein Obama II ( born August 4, 1961) is an American politician who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, he was the first African-American  president in U.S. history. Obama previously served as a U.S. senator representing Illinois from 2005 to 2008, as an Illinois state senator from 1997 to 2004, and as a civil rights lawyer and university lecturer. "
us,Abraham,Lincoln,Q91,1809-02-12,1865-04-15,Sinking Spring Farm,1861-03-04,1865-04-15,https://en.wikipedia.org/wiki/Abraham_Lincoln,"Abraham Lincoln ( February 12, 1809 – April 15, 1865) was an American lawyer, politician, and statesman who served as the 16th president of the United States from 1861 until his assassination in 1865. Lincoln led the United States through the American Civil War, defending the nation as a constitutional union, defeating the insurgent Confederacy, abolishing slavery, expanding the power of the federal government, and modernizing the U.S. economy."
us,George,Bush,Q207,1946-07-06,,New Haven,2001-01-20,2009-01-20,https://en.wikipedia.org/wiki/George_W._Bush,"George Walker Bush (born July 6, 1946) is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. A member of the Republican Party, he previously served as the 46th governor of Texas from 1995 to 2000."
us,Bill,Clinton,Q1124,1946-08-19,,Hope,1993-01-20,2001-01-20,https://en.wikipedia.org/wiki/Bill_Clinton,"William Jefferson Clinton (born William Jefferson Blythe III, August 19, 1946) is an American politician  who served as the 42nd president of the United States from 1993 to 2001. A member of the Democratic Party, he previously served as Governor of Arkansas from 1979 to 1981 and again from 1983 to 1992. Clinton, whose policies reflected a centrist ""Third Way"" political philosophy, became known as a New Democrat."
us,Joe,Biden,Q6279,1942-11-20,,St. Mary's Hospital,2021-01-20,,https://en.wikipedia.org/wiki/Joe_Biden,"Joseph Robinette Biden Jr. ( born November 20, 1942) is an American politician who is the 46th and current president of the United States. A member of the Democratic Party, he previously served as the 47th vice president from 2009 to 2017 under President Barack Obama and represented Delaware in the United States Senate from 1973 to 2009."
us,Franklin,Roosevelt,Q8007,1882-01-30,1945-04-12,Hyde Park,1933-03-04,1945-04-12,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,"Franklin Delano Roosevelt (January 30, 1882 – April 12, 1945), commonly known as FDR, was an American politician who served as the 32nd president of the United States from 1933 until his death in 1945. He was a member of the Democratic Party and is the only U.S. president to have served more than two terms. His initial two terms were centered on combating the Great Depression, while his third and fourth saw him shift his focus to America's involvement in World War II. "
us,Andrew,Johnson,Q8612,1808-12-29,1875-07-31,Raleigh,1865-04-15,1869-03-04,https://en.wikipedia.org/wiki/Andrew_Johnson,"Andrew Johnson (December 29, 1808 – July 31, 1875) was an American politician who served as the 17th president of the United States from 1865 to 1869. He assumed the presidency following the assassination of Abraham Lincoln, as he was vice president at that time. Johnson was a Democrat who ran with Abraham Lincoln on the National Union Party ticket, coming to office as the Civil War concluded. He favored quick restoration of the seceded states to the Union without protection for the newly freed people who were formerly enslaved. This led to conflict with the Republican-dominated Congress, culminating in his impeachment by the House of Representatives in 1868. He was acquitted in the Senate by one vote."
us,Gerald,Ford,Q9582,1913-07-14,2006-12-26,Omaha,1974-08-09,1977-01-20,https://en.wikipedia.org/wiki/Gerald_Ford,"Gerald Rudolph Ford Jr. ( July 14, 1913 – December 26, 2006) was an American politician who served as the 38th president of the United States from 1974 to 1977. He previously served as the leader of the Republican Party in the U.S. House of Representatives from 1965 to 1973, and as the 40th vice president under President Richard Nixon from 1973 to 1974. Ford succeeded to the presidency when Nixon resigned in 1974, but was defeated for election to a full term in 1976. Ford is the only person to become U.S. president without winning an election for president or vice president."
us,Richard,Nixon,Q9588,1913-01-09,1994-04-22,Yorba Linda,1969-01-20,1974-08-09,https://en.wikipedia.org/wiki/Richard_Nixon,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th president of the United States, serving from 1969 to 1974. A member of the Republican Party, he previously served as a representative and senator from California and as the 36th vice president from 1953 to 1961 under President Dwight D. Eisenhower. His presidency saw the reduction of U.S. involvement in the Vietnam War, détente with the Soviet Union and China, the Apollo 11 Moon landing, and the establishment of the Environmental Protection Agency and Occupational Safety and Health Administration. Nixon's second term ended early when he became the only U.S. president to resign from office, as a result of the Watergate scandal."
us,Lyndon,Johnson,Q9640,1908-08-27,1973-01-22,Stonewall,1963-11-22,1969-01-20,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,"Lyndon Baines Johnson ( August 27, 1908 – January 22, 1973), often referred to by his initials LBJ, was an American politician who served as the 36th president of the United States from 1963 to 1969. He became president after the assassination of John F. Kennedy, under whom he had served as the 37th vice president from 1961 to 1963. A Democrat from Texas, Johnson also served as a U.S. representative and U.S. senator."
us,John,Kennedy,Q9696,1917-05-29,1963-11-22,Brookline,1961-01-20,1963-11-22,https://en.wikipedia.org/wiki/John_F._Kennedy,"John Fitzgerald Kennedy (May 29, 1917 – November 22, 1963), often referred to as JFK or Jack, was an American politician who served as the 35th president of the United States from 1961 until his assassination in 1963. He was the youngest person elected president. Kennedy served at the height of the Cold War, and the majority of his foreign policy concerned relations with the Soviet Union and Cuba. A Democrat, Kennedy represented Massachusetts in both houses of the U.S. Congress prior to his presidency."
us,Dwight,Eisenhower,Q9916,1890-10-14,1969-03-28,Denison,1953-01-20,1961-01-20,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,"Dwight David Eisenhower ( October 14, 1890 – March 28, 1969), nicknamed Ike, was an American military officer and statesman who served as the 34th president of the United States from 1953 to 1961. During World War II, he was Supreme Commander of the Allied Expeditionary Force in Europe and achieved the five-star rank as General of the Army. Eisenhower planned and supervised two of the most consequential military campaigns of World War II:  Operation Torch in the North Africa campaign in 1942–1943 and the invasion of Normandy in 1944."
us,Ronald,Reagan,Q9960,1911-02-06,2004-06-05,Tampico,1981-01-20,1989-01-20,https://en.wikipedia.org/wiki/Ronald_Reagan,"Ronald Wilson Reagan ( February 6, 1911 – June 5, 2004) was an American politician and actor who served as the 40th president of the United States from 1981 to 1989. A member of the Republican Party, his presidency constituted the Reagan era, and he is considered one of the most prominent conservative figures in American history."
us,Harry,Truman,Q11613,1884-05-08,1972-12-26,Lamar,1945-04-12,1953-01-20,https://en.wikipedia.org/wiki/Harry_S._Truman,"Harry S. Truman (May 8, 1884 – December 26, 1972) was the 33rd president of the United States, serving from 1945 to 1953. A member of the Democratic Party, he previously served as a United States senator from Missouri from 1935 to 1945 and briefly as the 34th vice president in 1945 under Franklin D. Roosevelt. Assuming the presidency after Roosevelt's death, Truman implemented the Marshall Plan in the wake of World War II to rebuild the economy of Western Europe and established both the Truman Doctrine and NATO to contain the expansion of Soviet communism. He proposed numerous liberal domestic reforms, but few were enacted by the conservative coalition that dominated the Congress."
us,John,Adams,Q11806,,1826-07-04,Braintree,1797-03-04,1801-03-04,https://en.wikipedia.org/wiki/John_Adams,"John Adams (October 30, 1735 – July 4, 1826) was an American statesman, attorney, diplomat, writer, and Founding Father who served as the second president of the United States from 1797 to 1801. Before his presidency, he was a leader of the American Revolution that achieved independence from Great Britain. During the latter part of the Revolutionary War and in the early years of the new nation, he served the U.S. government as a senior diplomat in Europe. Adams was the first person to hold the office of vice president of the United States, serving from 1789 to 1797. He was a dedicated diarist and regularly corresponded with important contemporaries, including his wife and adviser Abigail Adams and his friend and political rival Thomas Jefferson."
